original,wind_speed,wind_dir,unit,timestamp_str,timestamp_obj
METAR VASD 260730Z 16004KT 2500 FU NSC 24/07 Q1016 NOSIG,4,160,KT,260730,2025-12-26 13:12:28.089281
METAR VASD 260730Z 16004KT 2500 FU NSC 24/07 Q1016 NOSIG,4,160,KT,260730,2025-12-26 13:19:52.522438
METAR VASD 260730Z 16004KT 2500 FU NSC 24/07 Q1016 NOSIG,4,160,KT,260730,2025-12-26 13:22:34.251455
METAR VASD 260730Z 16004KT 2500 FU NSC 24/07 Q1016 NOSIG,4,160,KT,260730,2025-12-26 13:29:52.945016
METAR VASD 260730Z 16004KT 2500 FU NSC 24/07 Q1016 NOSIG,4,160,KT,260730,2025-12-26 13:32:34.913866
METAR VASD 260800Z 11006KT 3000 FU NSC 25/06 Q1015 NOSIG,6,110,KT,260800,2025-12-26 13:39:54.315082
METAR VASD 260800Z 11006KT 3000 FU NSC 25/06 Q1015 NOSIG,6,110,KT,260800,2025-12-26 13:42:35.550655
METAR VASD 260800Z 11006KT 3000 FU NSC 25/06 Q1015 NOSIG,6,110,KT,260800,2025-12-26 13:49:54.671569
METAR VASD 260800Z 11006KT 3000 FU NSC 25/06 Q1015 NOSIG,6,110,KT,260800,2025-12-26 13:52:36.192563
METAR VASD 260800Z 11006KT 3000 FU NSC 25/06 Q1015 NOSIG,6,110,KT,260800,2025-12-26 13:59:55.129317
METAR VASD 260830Z 08003KT 3000 FU NSC 25/06 Q1015 NOSIG,3,80,KT,260830,2025-12-26 14:02:37.101119
METAR VASD 260830Z 08003KT 3000 FU NSC 25/06 Q1015 NOSIG,3,80,KT,260830,2025-12-26 14:09:55.533406
METAR VASD 260830Z 08003KT 3000 FU NSC 25/06 Q1015 NOSIG,3,80,KT,260830,2025-12-26 14:12:39.460002
METAR VASD 260830Z 08003KT 3000 FU NSC 25/06 Q1015 NOSIG,3,80,KT,260830,2025-12-26 14:19:55.921769
METAR VASD 260830Z 08003KT 3000 FU NSC 25/06 Q1015 NOSIG,3,80,KT,260830,2025-12-26 14:22:40.381386
METAR VASD 260830Z 08003KT 3000 FU NSC 25/06 Q1015 NOSIG,3,80,KT,260830,2025-12-26 14:29:56.536641
METAR VASD 260900Z VRB01KT 3000 FU NSC 25/06 Q1014 NOSIG,1,0,KT,260900,2025-12-26 14:32:41.129761
METAR VASD 260900Z VRB01KT 3000 FU NSC 25/06 Q1014 NOSIG,1,0,KT,260900,2025-12-26 14:39:56.915283
METAR VASD 260900Z VRB01KT 3000 FU NSC 25/06 Q1014 NOSIG,1,0,KT,260900,2025-12-26 14:42:42.727927
METAR VASD 260900Z VRB01KT 3000 FU NSC 25/06 Q1014 NOSIG,1,0,KT,260900,2025-12-26 14:49:57.332466
METAR VASD 260900Z VRB01KT 3000 FU NSC 25/06 Q1014 NOSIG,1,0,KT,260900,2025-12-26 14:52:43.380400
METAR VASD 260900Z VRB01KT 3000 FU NSC 25/06 Q1014 NOSIG,1,0,KT,260900,2025-12-26 14:59:58.011468
METAR VASD 260930Z 12004KT 3000 FU NSC 25/06 Q1014 NOSIG,4,120,KT,260930,2025-12-26 15:02:44.053219
METAR VASD 260930Z 12004KT 3000 FU NSC 25/06 Q1014 NOSIG,4,120,KT,260930,2025-12-26 15:09:58.525642
METAR VASD 260930Z 12004KT 3000 FU NSC 25/06 Q1014 NOSIG,4,120,KT,260930,2025-12-26 15:12:44.823514
METAR VASD 260930Z 12004KT 3000 FU NSC 25/06 Q1014 NOSIG,4,120,KT,260930,2025-12-26 15:19:58.918127
METAR VASD 260930Z 12004KT 3000 FU NSC 25/06 Q1014 NOSIG,4,120,KT,260930,2025-12-26 15:22:45.742314
METAR VASD 260930Z 12004KT 3000 FU NSC 25/06 Q1014 NOSIG,4,120,KT,260930,2025-12-26 15:30:00.030672
METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG,3,80,KT,261000,2025-12-26 15:32:46.425371
METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG,3,80,KT,261000,2025-12-26 15:40:00.747520
METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG,3,80,KT,261000,2025-12-26 15:42:47.160191
202512261000 METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG=,3,80,KT,261000,2025-12-26 15:50:21.298792
METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG,3,80,KT,261000,2025-12-26 15:52:47.817751
METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG,3,80,KT,261000,2025-12-26 16:00:21.657768
METAR VASD 261000Z 08003KT 3000 FU NSC 26/06 Q1014 NOSIG,3,80,KT,261000,2025-12-26 16:02:48.478393
METAR VASD 261030Z 10002KT 3000 FU NSC 25/06 Q1014 NOSIG,2,100,KT,261030,2025-12-26 16:10:22.035830
METAR VASD 261030Z 10002KT 3000 FU NSC 25/06 Q1014 NOSIG,2,100,KT,261030,2025-12-26 16:12:50.204082
METAR VASD 261030Z 10002KT 3000 FU NSC 25/06 Q1014 NOSIG,2,100,KT,261030,2025-12-26 16:20:22.629470
METAR VASD 261030Z 10002KT 3000 FU NSC 25/06 Q1014 NOSIG,2,100,KT,261030,2025-12-26 16:22:51.015875
METAR VASD 261030Z 10002KT 3000 FU NSC 25/06 Q1014 NOSIG,2,100,KT,261030,2025-12-26 16:30:22.981394
METAR VASD 261100Z 07004KT 4000 FU NSC 25/06 Q1014 NOSIG,4,70,KT,261100,2025-12-26 16:32:51.650402
METAR VASD 261100Z 07004KT 4000 FU NSC 25/06 Q1014 NOSIG,4,70,KT,261100,2025-12-26 16:40:39.916963
METAR VASD 261100Z 07004KT 4000 FU NSC 25/06 Q1014 NOSIG,4,70,KT,261100,2025-12-26 16:42:52.636240
METAR VASD 261100Z 07004KT 4000 FU NSC 25/06 Q1014 NOSIG,4,70,KT,261100,2025-12-26 16:50:40.327786
METAR VASD 261100Z 07004KT 4000 FU NSC 25/06 Q1014 NOSIG,4,70,KT,261100,2025-12-26 16:52:53.338771
METAR VASD 261330Z 05003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,50,KT,261330,2025-12-26 19:08:39.090503
METAR VASD 261330Z 05003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,50,KT,261330,2025-12-26 19:10:52.381785
METAR VASD 261330Z 05003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,50,KT,261330,2025-12-26 19:18:39.523956
METAR VASD 261330Z 05003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,50,KT,261330,2025-12-26 19:20:53.160403
METAR VASD 261330Z 05003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,50,KT,261330,2025-12-26 19:28:40.133722
METAR VASD 261330Z 05003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,50,KT,261330,2025-12-26 19:30:53.841053
METAR VASD 261400Z 07003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,70,KT,261400,2025-12-26 19:38:40.799002
METAR VASD 261400Z 07003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,70,KT,261400,2025-12-26 19:40:54.507931
METAR VASD 261400Z 07003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,70,KT,261400,2025-12-26 19:48:41.214290
METAR VASD 261400Z 07003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,70,KT,261400,2025-12-26 19:50:57.066190
METAR VASD 261400Z 07003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,70,KT,261400,2025-12-26 19:58:41.860338
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:00:57.693026
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:08:42.685119
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:10:58.293121
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:18:43.954408
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:20:59.323644
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:28:44.316909
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:31:00.016982
METAR VASD 261430Z 08003KT 3000 FU NSC 21/07 Q1015 NOSIG,3,80,KT,261430,2025-12-26 20:38:44.850712
METAR VASD 261500Z 15003KT 3000 FU NSC 20/07 Q1016 NOSIG,3,150,KT,261500,2025-12-26 20:41:00.720965
METAR VASD 261500Z 15003KT 3000 FU NSC 20/07 Q1016 NOSIG,3,150,KT,261500,2025-12-26 20:48:45.256878
METAR VASD 261500Z 15003KT 3000 FU NSC 20/07 Q1016 NOSIG,3,150,KT,261500,2025-12-26 20:51:01.445803
METAR VASD 261500Z 15003KT 3000 FU NSC 20/07 Q1016 NOSIG,3,150,KT,261500,2025-12-26 20:58:45.657397
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:01:02.127844
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:08:46.224605
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:11:02.732817
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:18:46.846659
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:21:03.759433
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:28:47.345427
METAR VASD 261530Z 16003KT 3000 FU NSC 19/07 Q1016 NOSIG,3,160,KT,261530,2025-12-26 21:31:04.584857
METAR VASD 261600Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261600,2025-12-26 21:38:47.717160
METAR VASD 261600Z 06003KT 3000 FU NSC 18/08 Q1016 NOSIG,3,60,KT,261600,2025-12-26 21:41:05.257175
